Metric,Baseline Value,Optimized Value,Delta (Opt - Base)
L1-dcache-load-misses,5279693.000000,5882693.000000,603000.000000
L1-dcache-loads,355937546.000000,268243611.000000,-87693935.000000
LLC-load-misses,479.000000,914.000000,435.000000
LLC-loads,951538.000000,892547.000000,-58991.000000
branch-misses,2254000.000000,1908754.000000,-345246.000000
branches,245283271.000000,202537348.000000,-42745923.000000
context-switches,11.000000,7.000000,-4.000000
cpu-migrations,1.000000,2.000000,1.000000
cycles,521061541.000000,416309105.000000,-104752436.000000
dTLB-load-misses,29499.000000,21850.000000,-7649.000000
dTLB-loads,402030572.000000,331012628.000000,-71017944.000000
iTLB-load-misses,9401.000000,4829.000000,-4572.000000
iTLB-loads,35853.000000,24355.000000,-11498.000000
instructions,1309522061.000000,1071954745.000000,-237567316.000000
page-faults,1224.000000,1230.000000,6.000000
task-clock,200.740000,160.360000,-40.380000
time-elapsed,0.205303,0.163152,-0.042151
