Metric,Baseline Value,Optimized Value,Delta (Opt - Base)
L1-dcache-load-misses,5578177.000000,3033872.000000,-2544305.000000
L1-dcache-loads,1071738561.000000,561106060.000000,-510632501.000000
LLC-load-misses,20247.000000,17653.000000,-2594.000000
LLC-loads,1606124.000000,958943.000000,-647181.000000
branch-misses,1112261.000000,1183880.000000,71619.000000
branches,697145438.000000,362515167.000000,-334630271.000000
context-switches,9.000000,9.000000,0.000000
cpu-migrations,0.000000,1.000000,1.000000
cycles,1251093322.000000,673997340.000000,-577095982.000000
dTLB-load-misses,62939.000000,81153.000000,18214.000000
dTLB-loads,1114678878.000000,575986304.000000,-538692574.000000
iTLB-load-misses,12144.000000,39982.000000,27838.000000
iTLB-loads,6954.000000,27275.000000,20321.000000
instructions,3917268024.000000,1876720537.000000,-2040547487.000000
page-faults,5394.000000,5418.000000,24.000000
task-clock,481.810000,259.650000,-222.160000
time-elapsed,0.483770,0.259937,-0.223833
